text,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,category,stance
بيل غيتس يتلقى لقاح كورونا تصوير الابره السيرنجه الدواء لابس بولو صيفي عز الشتاء يقول ان احدى مزايا عمر ال عام انه مؤهل للحصول اللقاح يعنى يحتاج اللقاح عمره اصغر,0,0,0,0,0,1,1,1,0,0,0,1,1
وزير الصحه لحد اليوم وتحديدا هلأ بمؤتمروا الصحفي عندي مشكله معوا انوا بفايزر اللقاح الوحيد الآمن بالعالم لأ حبيبي هاي نفاق واضح عفوا يعني مش انوا مجبورين قادر تجبر الدوله المارقه تدفع مصاري تجيب لقاح تاني يلا باي,0,0,0,0,0,0,0,1,1,0,0,0,1
قولكن رح يكونو اد المسؤوليه لبنان يوصل اللقاح الفي جرعه لقاح كورونا للتلف مستشفى بوسطن لأن عامل النظافه وقف طريق الخطأ عمل الثلاجه حفظت لقاح كورونا,0,0,0,0,0,1,0,1,0,0,0,0,1
تركيا وزير الصحه فخر الدين قوجه يتلقى اول جرعه لقاح كورونافاك الصيني مستشفى بالعاصمه انقره,0,0,0,0,0,1,1,1,0,0,0,1,1
وئام وهاب يشتم الدول الخليجيه طله اعلاميه ويتسافه عليهم واليوم جاء الى دبي وأخذ لقاح كورونا الأجدر توقيفه وطرده اذا تستحي فافعل شئت,0,0,0,0,0,1,0,1,0,0,0,7,0
لقاح كورونا اميركا قلق متزايد التوزيع العادل,0,0,0,0,0,1,0,1,0,0,0,0,0
لبنان اشترى مليونان لقاح امريكي اذا شلنا يلي عمرهم سنه ويلي مابدهم ياخذوا لقاح امريكي ويلي بدهم ياخذوا لقاح لانه مفكرينها مؤامره بعتقد بفضل اللقاح عشوا عاملين قصه مين رح ياخذ اول شي بكرا بنذكر الدوله رح تصير تدعي لاخذ اللقاح والناس بدها,0,0,0,0,0,0,0,1,0,0,0,0,1
عوارض لقاح كورونا تهكير حسابك عتويتر عاصي الحلاني,0,0,0,0,0,1,0,1,0,0,0,7,0
مليونيرا لبنان رضت الضريبه ثرواتهم نج الإنفوغراف بدعم مؤسسه اوكسفام محاربه الفقر محاربه اللامساواه فيروس اللامساواه لقاح الناس لبنان ينتفض,0,0,0,0,0,0,0,1,0,0,0,8,0
دعبول حضرتك منو انت وتطلب قائد دوله اسلاميه لقاح لعد اتابع الاخبار بكل مجالاتهم متفوقين وراح يطلع اللقاح قريبا دعبول دومه مسحول,0,0,0,0,0,0,0,1,0,0,0,0,1
مات شخص النرويج تلقي لقاح كورونا نيويورك بوست,0,0,0,0,0,1,0,1,0,0,0,0,-1
وبناء تحليلها لهذه البيانات قررت المملكه المتحده تأجيل الجرعه الثانيه واستخدام الجرعات المتاحه تطعيم اكبر عدد ممكن الناس لحين تصنيع يكفي اللقاحات لتوفير الجرعه الثانيه خلال مده تصل الى اسبوع تلقى الجرعه الاولى وحذت الدول حذوها,0,0,0,0,0,0,0,1,0,0,1,0,1
حراموس الولائيون لاينفعهم لقاح الشيتان الأكبببر مستعدون للموت بالفايروس يأخذون الطعوم اللقاح الاميركي,0,0,0,0,0,0,0,1,0,0,0,0,-1
اعلان هام للمواطنين والمقيمين دوله قطر وزاره الصحه العامه تفتح باب التسجيل للحصول لقاح كورونا عبر الرابط التالي قطر نديب قطر,0,0,0,1,0,1,0,1,0,0,0,0,1
الصين اثناء ظهور السلاله الجديده كورونا ام اسنان وبالمره استطاعوا انتاج لقاح لهذه السلاله بهذه السرعه اشتروها دول والا السلاله الجديده ستأتي لعضكم,0,0,0,0,0,1,0,1,0,0,0,0,1
بنك الدولي سنؤمن لقاح فايزر الف شخص لبنان,0,0,0,0,0,0,0,1,1,0,0,0,1
مصر الصحه تطلق موقع طلبات الحصول لقاح كورونا تجريبيا,0,0,0,0,0,1,0,1,0,0,0,0,1
حذر الرئيس مخاطر التطعيم التطعيمات خطيره وأضاف ماجوفولي استطاع العلماء اختراعها لكانوا توصلوا الى لقاح ضد الإيدز والسرطان والسل فتره طويله وحث الرئيس ماجوفولي التنزانيين مواصله اتخاذ الاحتياطات الوقت نفسه اعلن انه يكون حجر صحي البلاد,0,0,0,0,0,0,0,1,0,0,1,0,-1
معالي الدكتور وزير الصحه يبين انه يمكن لمن تلقى الجرعه الأولى لقاح فايزر بيونيتك ان يتلقى الجرعه الثانيه لقاح استرازينيكا ويقول ان الدلائل الأوليه فيد بأن السلاله الجديده كورونا تستجيب للعلاج باللقاحات المختلفه الم نعه لكورونا,0,0,0,0,0,1,1,1,1,0,0,2,1
لقاح الحصبه يمنعك الإصابه بالحصبه لقاح الجدري يمنعك الإصابه بالجدري لقاح كوذيب يمنعك الإصابه بالمرض يمنعك نقل العدوى ويجب الاستمرار بكتم انفاسك وأن تبتعد الناس يفعل الأجرب لماذا يتم تسميته لقاحا لتضليل الناس ان عميت بصائرهم,0,0,0,0,0,0,0,1,0,0,0,8,0
خادم الحرمين الشريفين حفظه الله يتلقى الجرعه الأولى لقاح كورونا كورونا,0,0,0,0,0,1,1,1,0,0,0,1,1
نتنياهو يتلقى الجرعه الثانيه لقاح كورونا,0,0,0,0,0,1,1,1,0,0,0,0,1
يجب ان يكون لقاح كورونا شاملا للجميع لنكن واضحين ان حمايه البلدان الثريه وحدها يتيح عوده الحياه الى طبيعتها وطالما ظل كورونا ينتشر اي مكان العالم فسيظل يشكل تهديدا جميعا يجب ان نعمل معا كأمم متحده اللقاحات فعاله,0,0,0,0,0,1,0,1,0,0,0,0,1
مطار القاهره يستقبل شحنه تبلغ الف جرعه لقاح استرازينيكا المصنع الهند,0,0,0,0,0,0,0,1,1,0,0,0,1
اذا وللبد لازم مسؤول رسمي بالدوله اللبنانيه خاصه الرؤسا والوزرا يحصلو لقاح كورونا الشعب مش خدمه الشعب او انا غلطان اذا صح المعلومات حول حصول هالفئه عاللقاح غيرهم يعني فعلا الوقاحه بتكون تخطت حدود الكن تعملوها ونظره الناس تجاهكم نظره احتقار,0,0,0,0,0,1,0,1,0,0,0,7,1
عاجل فيديو الملك سلمان يتلقى الجرعه الأولى لقاح كورونا,0,0,1,0,0,1,1,1,0,0,0,1,1
لأنهم يعلمون انه لقاح امن وضعوا عقوبات الشركه تقوم بتركيبه ولأنهم يعلمون ان ايران بأمانه انيس النفوس وضعوا عقوبات العتبه الرضويه المقدسه امريكا الشيطان الاكبر,0,0,0,0,0,0,0,1,0,1,0,0,1
الحمدلله اخذت الجرعه الثانيه تطعيم كورونا الله العافيه والسلامه الوباء,0,0,0,0,0,1,0,0,0,0,1,7,1
تمخضت وزاره الصحه فأنجبت لقاح انت وحظك يابتقول يارب يابتروح عنده واحنا مالناش دخل بدنا واسطه,0,0,0,1,0,0,0,1,0,0,0,7,0
حسبنا الله ونعم الوكيل شكلهم حيعطوهم لقاح لجماعتهم ولي يعز عليهم عندما يغادرون المملكه زي الأدويه الي تتهرب اثر الميزانيه حق الصحه ماتنصرف المواطن ومستشفيات البلد عشان الميزانيه ماتكفي,0,0,0,0,0,0,0,1,0,0,0,3,0
ايران تعلق استيراد الف جرعه لقاح فايزر قرار خامنئي منع استيراد اللقاحات,0,0,0,0,0,0,0,1,1,0,0,0,1
لجنه الطوارئ برئاسه رئيس الوزراء تناقش توفير لقاح كورونا لليمن سبأ نت,0,0,0,0,0,1,0,1,0,0,0,2,1
بايدن يتلقى الجرعه الثانيه لقاح كورونا,0,0,0,0,0,1,1,1,0,0,0,1,1
دراسه لقاح فايزر يزيد رغبه الل حس الصحافي الجلجوء,0,0,0,0,0,0,0,1,1,0,0,9,1
تركيا وصول الدفعه الثانيه لقاح كورونافاك الصيني,0,0,0,0,0,1,0,1,0,0,0,0,1
النائب العام سعود المعجب يتلقى الجرعه الأولى لقاح كورونا اليوم معربا شكره العميق للقياده الرشيده لسرعه توفير اللقاح للمواطنين والمقيمين ومؤملا انتهاء الجائحه قريبا بفضل الله بفضل الجهود المخلصه لوزاره الصحه بتوجيه خادم الحرمين الشريفين وولي عهده حفظهما الله,0,0,0,1,0,1,1,1,0,0,0,1,1
وزير الصحه ضروره لإجراء فحص الأجسام المضاده اخذ اللقاح عاجل كورونا الأردن لقاح كورونا المملكه,0,0,1,0,0,1,0,1,0,0,0,2,1
دكتوره حامل الشهر الثامن الولايات المتحده الأمريكيه خذت تطعيم كورونا ان مصرح للحوامل حاليا لكنها قالت ببساطه احمي نفسي واللي بطني افضل اني اكون حامل واصاب بكورونا وانت ويهك مربع وتدخن يوم وتخاف التطعيم خذ التطعيم تنشر اشاعات خاطئه,0,0,0,0,0,1,0,0,0,0,1,0,1
نحنا بنادول عنا بدو يكون عنا لقاح كورونا تك كير بيبي سوا,0,0,0,0,0,1,0,1,0,0,0,0,1
بالفيديو معالي الدكتور احمد بن محمد السعيدي وزير الصحه يتلقى الجرعه الثانيه لقاح كورونا بمجمع بوشر التخصصي,0,0,0,0,0,1,1,1,0,0,0,1,1
منظمه دوليه العالم وشك فشل اخلاقي توزيع لقاح كورونا,0,0,0,0,0,1,0,1,0,0,0,0,1
ان وعد العالم بلقاح تركى الصنع سيقدمه للبشريه اردوغان يتلقى لقاح صينى ازى الصحه بقى,0,0,0,0,0,0,1,1,0,0,0,1,1
القائد الاعلى للقوات الجويه الاسبانيه يستقيل منصبه اتهامه بالحصول لقاح كورونا ان يحين دوره مش عم بمزح,0,0,0,0,0,1,0,1,0,0,0,0,1
لقاح كورونا فايزر بيونتيك المعتمد وزاره الصحه حصري السيسي حراميته مجرمينه لقاح مودرن الامريكي للأطباء لقاح كورونا الصيني تسبب غيبوبه دائمه لسياسي مصري الامارات سيعطى للشعب المصري وهذا مبدأ اي انقلاب الأشياء الجيده للحاكم وشلته والسيئه القاتله للشعب,0,0,0,1,0,1,0,1,1,0,0,0,1
مستشار الرئيس للصحه يؤكد التعاقد رسمي مليون جرعه لقاح ضد كورونا,0,0,0,0,0,1,0,1,0,0,0,2,1
